location	code	store_name	product_ean
Europe/Berlin	DE	Nidderau	5721741873511
America/New_York	US	Front Royal	6836358001017
Asia/Karachi	PK	Jhol	4776992607188
Australia/Sydney	AU	Strathfield	5515719120895
Europe/Madrid	ES	Puertollano	0599783753086
Europe/London	GB	Exeter	3457060267992
America/Los_Angeles	US	South Whittier	9970706274900
Europe/London	GB	Strood	6753622393039
America/Sao_Paulo	BR	Itaperuna	6852703048506
America/Santo_Domingo	DO	Santa Cruz de Barahona	6451240378482
Africa/Nairobi	KE	Nyahururu	7932882026911
Europe/Warsaw	PL	Jaworzno	8993203288592
America/Jamaica	JM	New Kingston	1837458899868
Pacific/Port_Moresby	PG	Mount Hagen	9016064842693
Europe/London	GB	Lower Earley	4607161396483
Australia/Sydney	AU	Baulkham Hills	3741444590043
Asia/Karachi	PK	Fazilpur	0622794619116
Africa/Freetown	SL	Freetown	6326917002727
Europe/Madrid	ES	Ferrol	6795348384953
Asia/Shanghai	CN	Danjiangkou	5800408427943
America/New_York	US	Deltona	4581168675423
Asia/Yakutsk	RU	Aykhal	5975226160096
Asia/Kolkata	IN	Narwar	7624817494345
Asia/Tokyo	JP	Suzaka	8387403471173
Europe/Madrid	ES	San Fernando de Henares	2471331566073
Asia/Karachi	PK	Qadirpur Ran	2593119479778
America/New_York	US	Martinsburg	0443916229507
Europe/Madrid	ES	Talavera de la Reina	2326723085864
Europe/Kiev	UA	Nova Kakhovka	7508655185163
America/Phoenix	US	Gilbert	7821006624358
Europe/Moscow	RU	Severodvinsk	6588049127789
Europe/Berlin	DE	Walsrode	6333061971625
Europe/Berlin	DE	Trossingen	9632829372313
Asia/Shanghai	CN	Huangshi	3750454400839
Europe/Rome	IT	Agrigento	5189771476049
Asia/Kolkata	IN	Chamba	2630243274821
Europe/Berlin	DE	Rudolstadt	8825018225670
Asia/Kolkata	IN	Diamond Harbour	2509985473352
America/Lima	PE	Minas de Marcona	1203259558370
America/Sao_Paulo	BR	Alfenas	1732390517170
Indian/Antananarivo	MG	Antanifotsy	2363869829747
Europe/Paris	FR	Saint-Omer	6606349900731
Australia/Melbourne	AU	Carnegie	2099353657687
Asia/Tokyo	JP	Annaka	4212955881238
Asia/Shanghai	CN	Jingzhou	9002312226957
Africa/Luanda	AO	Luena	4481135033242
America/Sao_Paulo	BR	Itabirito	6054496437325
Europe/Madrid	ES	Ferrol	0870826432992
Europe/Zaporozhye	UA	Svatove	4921179982736
Europe/Paris	FR	Ajaccio	0306215127533
Europe/London	GB	Hartley	8471742828481
America/Los_Angeles	US	Watsonville	3509740127420
America/Phoenix	US	Gilbert	7876673930196
America/Manaus	BR	Itacoatiara	0154481119192
Europe/London	GB	Devizes	9269155165649
Europe/Paris	FR	Marseille 11	6817851806521
Africa/Mogadishu	SO	Baki	6715611071397
Europe/Moscow	RU	Kireyevsk	4185323053035
Asia/Tokyo	JP	Shimotoda	8571452360346
Africa/Bangui	CF	Carnot	6152849623767
Europe/London	GB	Lymington	2954451882419
Asia/Karachi	PK	Larkana	2015903453226
America/Chicago	US	Evergreen Park	5622185127676
Europe/Prague	CZ	Karlovy Vary	4462820392783
Europe/Berlin	DE	Landshut	6319257723230
Europe/London	GB	Chapletown	1355436144132
Europe/Bucharest	RO	Sector 6	1839073037311
Europe/Berlin	DE	Siegburg	7513776004699
Africa/Dar_es_Salaam	TZ	Magomeni	8569168180617
America/Sao_Paulo	BR	Artur Nogueira	5014812123203
Asia/Bangkok	TH	Roi Et	3837011931057
Europe/Berlin	DE	Burscheid	3836194443623
Europe/Istanbul	TR	Gaziantep	2698836098094
Europe/Lisbon	PT	Paredes	5106787613633
America/Chicago	US	Greenville	8666949146890
Europe/Amsterdam	NL	Hardenberg	8985724023783
Asia/Bangkok	TH	Nakhon Si Thammarat	8394903820943
Asia/Kolkata	IN	Srinagar	1887945012478
Asia/Shanghai	CN	Haicheng	2033126586040
Asia/Kolkata	IN	Amreli	3120415455657
America/Los_Angeles	US	Claremont	8444406191443
Asia/Shanghai	CN	Beidao	3331727105455
Europe/Kiev	UA	Nova Kakhovka	4204401261930
Europe/London	GB	Clacton-on-Sea	8059610345478
Europe/Moscow	RU	Novopavlovsk	8714006110404
Europe/London	GB	Newbury	2401268329557
America/Vancouver	CA	Kelowna	5585989078394
America/Chicago	US	Kaukauna	7140505757931
Europe/Madrid	ES	Segundo Ensanche	6266631551661
America/New_York	US	Nutley	1975826382243
Europe/Paris	FR	Bobigny	3183445850526
America/Los_Angeles	US	Mira Mesa	5928667600669
America/Santiago	CL	San Bernardo	9797665666542
Africa/Lagos	NG	Biu	6391371391533
America/Panama	PA	Chilibre	2932471287445
Asia/Karachi	PK	Fazilpur	4016885232319
America/New_York	US	Greenpoint	2527822137106
