pct_mouse_click	screen_height	page_activity_duration	product_ean	pct_click_product_info	pct_scroll_move_duration	screen_width	pct_wild_mouse	ack	pct_scroll_move	pct_doubleclick	pct_click	user_id	wild_mouse_duration	browser_name	session_id	pct_rage_click	scroll_move_total_rel_distance	mouse_move_total_rel_distance	pct_scrandom	pct_input	pct_mouse_move	session_start	session_duration	total_load_time
7.77527	768	10.51979	0359692880231	70.91798	7.27697	1024	59.17593	0.00000	48.47036	8.46180	7.24384	157	9.13680	mobile	1187854	58.79380	6.75676	3.62279	57.31789	0.17509	8.61207	2023-05-29 01:41:01	248.02126	2.11618
5.03295	768	7.75416	1794451570432	66.93838	4.08563	1280	60.09418	1.00000	51.62739	5.84053	11.61595	1029	6.89500	chrome	154134	69.27330	7.46806	6.66292	45.83634	0.02913	7.51614	2021-09-17 06:23:15	23.59786	1.90972
10.14744	1080	9.10318	6627398169993	57.91666	6.88309	1024	53.43129	1.00000	63.28444	7.41356	9.68598	2347	6.89898	edge	214735	32.56947	6.86916	8.01967	59.20748	0.04878	8.84948	2019-01-18 20:01:37	114.36778	3.97669
8.19269	600	12.80449	0442339598504	45.89835	7.59328	800	40.04462	0.00000	38.72639	12.70199	5.88955	915	11.42288	mobile	512396	65.11746	9.20682	8.31575	35.92620	1.57604	8.73741	2020-07-15 20:53:36	172.89684	7.61124
11.57929	768	10.54016	2433426340531	31.68852	10.42245	1920	47.38512	1.00000	61.39145	6.55789	8.60787	761	10.05261	chrome	1264021	51.24524	8.83597	11.36887	31.52878	0.43239	8.32866	2021-09-25 15:07:02	178.23471	4.30260
11.04803	lower	11.06264	2248309931634	56.64579	12.14329	higher	47.72929	1.00000	44.82395	4.65210	5.82264	1699	6.82228	chrome	679008	58.24751	5.83986	9.70618	43.33680	0.04690	9.57415	2023-06-20 18:25:08	221.10024	7.77480
5.15113	1024	7.35664	7012765737797	31.17758	8.51639	1920	47.28385	0.00000	54.57033	7.32867	6.77881	2380	8.65513	chrome	937223	53.45146	7.92384	11.08440	47.72399	0.11878	4.90548	2020-10-21 07:36:06	189.24551	7.53572
4.36943	768	7.57333	0954365290074	45.98518	3.97724	higher	49.72053	0.00000	43.53518	8.81473	10.84256	1167	9.58480	edge	1289255	54.23404	9.05647	8.57592	44.19605	0.24674	6.93100	2022-08-10 11:13:05	91.11477	2.86153
8.02047	1080	9.23323	5249425386985	53.61331	8.00020	1920	42.39962	0.00000	36.93120	9.08275	6.93998	959	7.97749	chrome	833718	54.28816	8.15665	10.00318	45.28382	0.07914	8.70618	2019-08-27 16:22:01	24.43097	2.36938
6.98564	1080	9.64186	6205290922467	49.08098	6.16525	1920	31.76676	1.00000	57.11609	6.48196	10.99804	1404	9.04309	edge	438166	26.95907	8.74686	9.64739	47.56851	0.18362	8.67981	2022-03-07 02:10:13	140.16408	1.92800
